  204548
       0.00      0.00
       0.09    123.10
       0.19    190.38
       0.30    245.98
       0.42    267.12
       0.56    247.04
       0.70    223.25
       0.86    213.79
       1.04    224.62
       1.23    232.03
       1.45    221.93
       1.68    208.66
       1.94    197.65
       2.23    200.47
       2.54    207.48
       2.89    203.88
       3.27    192.13
       3.69    183.31
       4.15    180.25
       4.65    181.90
       5.21    183.48
       5.82    181.96
       6.49    178.83
       7.23    184.29
       8.05    190.09
