  703580
       0.00      0.00
       0.09     46.61
       0.19     62.79
       0.30     69.39
       0.42     71.43
       0.56     70.88
       0.70     69.13
       0.86     67.77
       1.04     67.71
       1.23     69.29
       1.45     72.14
       1.68     75.96
       1.94     81.00
       2.23     86.30
       2.54     90.57
       2.89     94.52
       3.27     96.44
       3.69     97.10
       4.15     96.43
       4.65     96.92
       5.21     97.49
       5.82     99.27
       6.49    102.21
       7.23    106.57
       8.05    109.65
       8.94    110.64
       9.93    111.24
      11.01    111.94
      12.20    113.48
      13.51    116.85
      14.95    121.43
      16.54    125.02
      18.29    127.68
      20.20    129.05
      22.32    127.43
      24.64    125.03
