702916
0.062893	1.129943
0.377358	177.401123
0.566038	191.525421
0.81761	199.435028
1.226415	207.909607
1.540881	213.559326
1.949686	212.994354
2.484277	211.86441
2.955975	211.299438
3.301887	207.344635
3.930818	206.214691
4.591195	204.519775
5.314466	206.214691
6.132075	210.169495
6.792453	212.994354
7.735849	216.949158
8.584906	217.51413
9.528302	218.079102
10.72327	215.254242
11.635221	214.124298
12.327044	211.299438
13.050315	210.734467
13.710691	210.169495
15.368421	210.285721
18.	215.428574
21.263159	217.142853
24.421053	209.714279
27.578947	198.857147
30.736841	186.857147
34.	181.714279
36.947369	180.571426
