  712043
       0.00      0.00
       0.16     21.57
       0.33     48.67
       0.52     70.82
       0.73     92.61
       0.96    111.53
       1.21    129.08
       1.49    148.72
       1.79    160.00
       2.13    166.54
       2.50    171.22
       2.91    175.38
       3.35    179.72
       3.85    182.18
       4.39    183.54
       4.98    183.28
       5.64    182.16
       6.36    179.94
       7.15    177.64
       8.03    176.99
       8.99    177.84
      10.04    179.93
      11.20    183.77
      12.48    186.67
      13.88    186.25
