  101097
       0.00      0.00
       0.09     84.14
       0.19    176.92
       0.30    257.07
       0.42    309.04
       0.56    336.74
       0.70    349.78
       0.86    355.56
       1.04    357.78
       1.23    357.09
       1.45    353.72
       1.68    348.69
       1.94    340.86
       2.23    329.72
       2.54    316.92
       2.89    301.69
       3.27    287.38
       3.69    276.53
       4.15    271.03
       4.65    273.27
       5.21    281.76
       5.82    293.95
       6.49    305.40
       7.23    311.59
       8.05    313.95
       8.94    315.10
       9.93    314.96
      11.01    312.10
      12.20    306.32
      13.51    299.02
      14.95    293.31
      16.54    289.58
      18.29    286.37
      20.20    283.53
      22.32    282.74
      24.64    283.79
      27.19    280.85
      30.00    270.51
      33.09    260.33
