  540154
       0.00      0.00
       0.10      2.80
       0.21      6.40
       0.32     10.58
       0.46     14.59
       0.60     16.50
       0.76     18.18
       0.93     20.84
       1.12     23.63
       1.33     26.57
       1.56     29.41
       1.82     32.35
       2.10     34.49
       2.41     35.97
       2.74     37.72
       3.12     39.27
       3.53     41.14
       3.98     43.42
       4.47     46.01
       5.02     47.69
       5.62     47.96
       6.28     47.60
       7.00     48.12
       7.80     50.22
