  300864
       0.00      0.00
       0.09      7.21
       0.19     15.64
       0.30     19.63
       0.42     27.22
       0.56     35.34
       0.70     56.66
       0.86     74.39
       1.04     86.57
       1.23     97.08
       1.45    117.22
       1.68    130.14
       1.94    131.70
       2.23    135.88
       2.54    143.94
       2.89    144.01
       3.27    135.79
       3.69    135.48
       4.15    136.66
       4.65    137.42
       5.21    144.38
       5.82    145.28
       6.49    141.88
       7.23    137.32
       8.05    140.29
       8.94    147.21
       9.93    151.76
